table_name,column_name,data_type,is_nullable,column_default
global_attendance_status,id,uuid,NO,gen_random_uuid()
global_attendance_status,name,text,NO,null
global_attendance_status,code,text,NO,null
global_attendance_status,is_active,boolean,NO,true
global_attendance_status,created_at,timestamp with time zone,NO,now()
global_attendance_status,updated_at,timestamp with time zone,NO,now()
global_blood_groups,id,uuid,NO,gen_random_uuid()
global_blood_groups,name,text,NO,null
global_blood_groups,is_active,boolean,NO,true
global_blood_groups,created_at,timestamp with time zone,NO,now()
global_blood_groups,updated_at,timestamp with time zone,NO,now()
global_boards,id,uuid,NO,gen_random_uuid()
global_boards,name,text,NO,null
global_boards,code,text,NO,null
global_boards,description,text,YES,null
global_boards,is_active,boolean,NO,true
global_boards,created_at,timestamp with time zone,NO,now()
global_boards,updated_at,timestamp with time zone,NO,now()
global_boards,created_by,uuid,YES,null
global_boards,updated_by,uuid,YES,null
global_classes,id,uuid,NO,gen_random_uuid()
global_classes,name,text,NO,null
global_classes,code,text,NO,null
global_classes,level_order,integer,NO,null
global_classes,education_level,text,YES,null
global_classes,is_active,boolean,NO,true
global_classes,created_at,timestamp with time zone,NO,now()
global_classes,updated_at,timestamp with time zone,NO,now()
global_classes,created_by,uuid,YES,null
global_classes,updated_by,uuid,YES,null
global_classes,is_deleted,boolean,NO,false
global_exam_subject_rules,id,uuid,NO,gen_random_uuid()
global_exam_subject_rules,class_id,uuid,NO,null
global_exam_subject_rules,subject_id,uuid,NO,null
global_exam_subject_rules,exam_type_id,uuid,NO,null
global_exam_subject_rules,default_max_marks,numeric,NO,100
global_exam_subject_rules,default_passing_marks,numeric,NO,33
global_exam_subject_rules,default_grading_system,jsonb,NO,"{""A"": 80, ""B"": 70, ""C"": 60, ""D"": 50, ""E"": 40, ""F"": 0, ""A+"": 90}"
global_exam_subject_rules,is_active,boolean,NO,true
global_exam_types,id,uuid,NO,gen_random_uuid()
global_exam_types,name,text,NO,null
global_exam_types,code,text,YES,null
global_exam_types,description,text,YES,null
global_exam_types,is_active,boolean,NO,true
global_exam_types,created_at,timestamp with time zone,NO,now()
global_exam_types,updated_at,timestamp with time zone,NO,now()
global_exam_types,created_by,uuid,YES,null
global_exam_types,updated_by,uuid,YES,null
global_expense_types,id,uuid,NO,gen_random_uuid()
global_expense_types,name,text,NO,null
global_expense_types,code,text,YES,null
global_expense_types,is_active,boolean,NO,true
global_expense_types,created_at,timestamp with time zone,NO,now()
global_expense_types,updated_at,timestamp with time zone,NO,now()
global_expense_types,reference_type,USER-DEFINED,YES,null
global_facilities,id,uuid,NO,gen_random_uuid()
global_facilities,name,text,NO,null
global_facilities,code,text,NO,null
global_facilities,description,text,YES,null
global_facilities,is_active,boolean,NO,true
global_facilities,created_at,timestamp with time zone,NO,now()
global_facilities,updated_at,timestamp with time zone,NO,now()
global_languages,id,uuid,NO,gen_random_uuid()
global_languages,name,text,NO,null
global_languages,code,text,NO,null
global_languages,is_active,boolean,NO,true
global_languages,created_at,timestamp with time zone,NO,now()
global_languages,updated_at,timestamp with time zone,NO,now()
global_mediums,id,uuid,NO,gen_random_uuid()
global_mediums,board_id,uuid,NO,null
global_mediums,name,text,NO,null
global_mediums,code,text,NO,null
global_mediums,is_active,boolean,NO,true
global_mediums,created_at,timestamp with time zone,NO,now()
global_mediums,updated_at,timestamp with time zone,NO,now()
global_mediums,created_by,uuid,YES,null
global_mediums,updated_by,uuid,YES,null
global_organization_parent_types,id,uuid,NO,gen_random_uuid()
global_organization_parent_types,name,text,NO,null
global_organization_parent_types,code,text,NO,null
global_organization_parent_types,description,text,YES,null
global_organization_parent_types,is_active,boolean,NO,true
global_organization_parent_types,created_at,timestamp with time zone,NO,now()
global_organization_parent_types,updated_at,timestamp with time zone,NO,now()
global_organization_types,id,uuid,NO,gen_random_uuid()
global_organization_types,name,text,NO,null
global_organization_types,code,text,NO,null
global_organization_types,description,text,YES,null
global_organization_types,is_active,boolean,NO,true
global_organization_types,created_at,timestamp with time zone,NO,now()
global_organization_types,updated_at,timestamp with time zone,NO,now()
global_organization_types,is_own,boolean,NO,true
global_relationship_types,id,uuid,NO,gen_random_uuid()
global_relationship_types,name,text,NO,null
global_relationship_types,code,text,NO,null
global_relationship_types,is_active,boolean,NO,true
global_relationship_types,created_at,timestamp with time zone,NO,now()
global_relationship_types,updated_at,timestamp with time zone,NO,now()
global_result_status,id,uuid,NO,gen_random_uuid()
global_result_status,name,text,NO,null
global_result_status,code,text,NO,null
global_result_status,is_active,boolean,NO,true
global_result_status,created_at,timestamp with time zone,NO,now()
global_result_status,updated_at,timestamp with time zone,NO,now()
global_sessions,id,uuid,NO,gen_random_uuid()
global_sessions,name,text,NO,null
global_sessions,is_active,boolean,NO,true
global_sessions,is_deleted,boolean,NO,false
global_sessions,created_at,timestamp with time zone,NO,now()
global_sessions,updated_at,timestamp with time zone,NO,now()
global_sessions,starting_date,date,YES,null
global_sessions,ending_date,date,YES,null
global_sessions,update_before_ending_days,integer,YES,30
global_staff_roles,id,uuid,NO,gen_random_uuid()
global_staff_roles,name,text,NO,null
global_staff_roles,code,text,NO,null
global_staff_roles,description,text,YES,null
global_staff_roles,is_active,boolean,NO,true
global_staff_roles,created_at,timestamp with time zone,NO,now()
global_staff_roles,updated_at,timestamp with time zone,NO,now()
global_staff_roles,is_deleted,boolean,NO,false
global_student_categories,id,uuid,NO,gen_random_uuid()
global_student_categories,name,text,NO,null
global_student_categories,code,text,NO,null
global_student_categories,description,text,YES,null
global_student_categories,is_active,boolean,NO,true
global_student_categories,created_at,timestamp with time zone,NO,now()
global_student_categories,updated_at,timestamp with time zone,NO,now()
global_student_status,id,uuid,NO,gen_random_uuid()
global_student_status,name,text,NO,null
global_student_status,code,text,NO,null
global_student_status,is_active,boolean,NO,true
global_student_status,created_at,timestamp with time zone,NO,now()
global_student_status,updated_at,timestamp with time zone,NO,now()
global_subjects,id,uuid,NO,gen_random_uuid()
global_subjects,name,text,NO,null
global_subjects,code,text,YES,null
global_subjects,subject_type,text,YES,null
global_subjects,is_active,boolean,NO,true
